#,command,apropos
152,gnutls_certificate_set_verify_flags(3) , API function
153,gnutls_certificate_set_verify_function(3) , API function
154,gnutls_certificate_set_verify_limits(3) , API function
155,gnutls_certificate_set_x509_crl(3) , API function
156,gnutls_certificate_set_x509_crl_file(3) , API function
157,gnutls_certificate_set_x509_crl_mem(3) , API function
158,gnutls_certificate_set_x509_key(3) , API function
159,gnutls_certificate_set_x509_key_file(3) , API function
160,gnutls_certificate_set_x509_key_file2(3) , API function
161,gnutls_certificate_set_x509_key_mem(3) , API function
162,gnutls_certificate_set_x509_key_mem2(3) , API function
163,gnutls_certificate_set_x509_simple_pkcs12_file(3) , API function
164,gnutls_certificate_set_x509_simple_pkcs12_mem(3) , API function
165,gnutls_certificate_set_x509_system_trust(3) , API function
166,gnutls_certificate_set_x509_trust(3) , API function
167,gnutls_certificate_set_x509_trust_dir(3) , API function
168,gnutls_certificate_set_x509_trust_file(3) , API function
169,gnutls_certificate_set_x509_trust_mem(3) , API function
170,gnutls_certificate_type_get(3) , API function
171,gnutls_certificate_type_get2(3) , API function
172,gnutls_certificate_type_get_id(3) , API function
173,gnutls_certificate_type_get_name(3) , API function
174,gnutls_certificate_type_list(3) , API function
175,gnutls_certificate_verification_profile_get_id(3) , API function
176,gnutls_certificate_verification_profile_get_name(3) , API function
177,gnutls_certificate_verification_status_print(3) , API function
178,gnutls_certificate_verify_peers(3) , API function
179,gnutls_certificate_verify_peers2(3) , API function
180,gnutls_certificate_verify_peers3(3) , API function
181,gnutls_dtls_cookie_verify(3) , API function
182,gnutls_ocsp_resp_verify(3) , API function
183,gnutls_ocsp_resp_verify_direct(3) , API function
184,gnutls_pkcs12_verify_mac(3) , API function
185,gnutls_pkcs7_verify(3)   , API function
186,gnutls_pkcs7_verify_direct(3) , API function
187,gnutls_priority_certificate_type_list(3) , API function
188,gnutls_priority_certificate_type_list2(3) , API function
189,gnutls_privkey_verify_params(3) , API function
190,gnutls_privkey_verify_seed(3) , API function
191,gnutls_pubkey_verify_data2(3) , API function
192,gnutls_pubkey_verify_hash2(3) , API function
193,gnutls_pubkey_verify_params(3) , API function
194,gnutls_session_get_verify_cert_status(3) , API function
195,gnutls_session_set_verify_cert(3) , API function
196,gnutls_session_set_verify_cert2(3) , API function
197,gnutls_session_set_verify_function(3) , API function
198,gnutls_srp_verifier(3)   , API function
199,gnutls_tdb_set_verify_func(3) , API function
200,gnutls_verify_stored_pubkey(3) , API function
201,gnutls_x509_crl_verify(3) , API function
202,gnutls_x509_crq_verify(3) , API function
203,gnutls_x509_crt_equals(3) , This function compares two gnutls_x509_crt_t certificates
204,gnutls_x509_crt_list_verify(3) , API function
205,gnutls_x509_crt_verify(3) , API function
206,gnutls_x509_crt_verify_data2(3) , API function
207,gnutls_x509_privkey_verify_params(3) , API function
208,gnutls_x509_privkey_verify_seed(3) , API function
209,gnutls_x509_trust_list_verify_crt(3) , API function
210,gnutls_x509_trust_list_verify_crt2(3) , API function
211,gnutls_x509_trust_list_verify_named_crt(3) , API function
212,if(3)                    ," ""use"" a Perl module if a condition holds"
213,ifnames(1)               , Extract CPP conditionals from a set of files
214,libtiff(3tiff)           ," introduction to libtiff , a library for reading and writing TIFF files"
215,msguniq(1)               , unify duplicate translations in message catalog
216,npm,dist
217,opj_compress(1)          ," This program reads in an image of a certain type and converts it to a jpeg2000 file. It is part of the OpenJPEG library. Valid input image extensions are .bmp, .pgm, .pgx, .png, .pnm, .ppm, .raw, .tga, .tif . For PNG resp. TIF it needs libpng resp. libtiff . Valid output image extensions are .j2k, .jp2"
218,opj_decompress(1)        ," This program reads in a jpeg2000 image and converts it to another image type. It is part of the OpenJPEG library. Valid input image extensions are .j2k, .jp2, .j2c, .jpt Valid output image extensions are .bmp, .pgm, .pgx, .png, .pnm, .ppm, .raw, .tga, .tif . For PNG resp. TIF it needs libpng resp. libtiff"
219,package,"json(5), package.json(5) "
220,package,lock
221,pal2rgb(1)               , convert a palette color TIFF image to a full color image
222,perlipc(1)               ," Perl interprocess communication (signals, fifos, pipes, safe subprocesses, sockets, and semaphores)"
223,perlivp(1)               , Perl Installation Verification Procedure
224,perlplan9(1)             , Plan 9
225,perlpodspec(1)           , Plain Old Documentation: format specification and notes
226,perlunifaq(1)            , Perl Unicode FAQ
227,perlvms(1)               , VMS
228,pg_verifybackup(1)       , verify the integrity of a base backup of a PostgreSQL cluster
229,ppm2tiff(1)              ," create a TIFF file from PPM, PGM and PBM image files"
230,ptardiff(1)              , program that diffs an extracted archive against an unextracted one
231,raw2tiff(1)              , create a TIFF file from a raw data
232,tiff2bw(1)               , convert a color TIFF image to greyscale
233,tiff2pdf(1)              , convert a TIFF image to a PDF document
234,tiff2ps(1)               , convert a TIFF image to
235,tiff2rgba(1)             , convert a TIFF image to RGBA color space
236,tiffcmp(1)               , compare two TIFF files
237,tiffcp(1)                , copy (and possibly convert) a TIFF file
238,tiffcrop(1)              ," select, copy, crop, convert, extract, and/or process one or more TIFF files"
239,tiffdither(1)            , convert a greyscale image to bilevel using dithering
240,tiffdump(1)              , print verbatim information about TIFF files
